,lit_type,author,title,POS_punctuation,count,proportion
0,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",'',493,0.05448717948717949
1,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",.,1971,0.21783819628647214
2,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",#,4,0.0004420866489832007
3,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",``,455,0.05028735632183908
4,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",),177,0.01956233421750663
5,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",:,1503,0.16611405835543766
6,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",$,32,0.0035366931918656055
7,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",",",4236,0.46816976127320953
8,Book,"Morris, Richard, 1833-1894","
Sir Gawayne and the Green KnightAn Alliterative Romance-Poem (c. 1360 A.D.)
",(,177,0.01956233421750663
0,Book,"Sophocles, 495? BCE-406 BCE","
Oedipus King of ThebesTranslated into English Rhyming Verse with Explanatory Notes
",'',69,0.017314930991217063
1,Book,"Sophocles, 495? BCE-406 BCE","
Oedipus King of ThebesTranslated into English Rhyming Verse with Explanatory Notes
",.,1792,0.44968632371392725
2,Book,"Sophocles, 495? BCE-406 BCE","
Oedipus King of ThebesTranslated into English Rhyming Verse with Explanatory Notes
",``,43,0.010790464240903387
3,Book,"Sophocles, 495? BCE-406 BCE","
Oedipus King of ThebesTranslated into English Rhyming Verse with Explanatory Notes
",),22,0.005520702634880803
4,Book,"Sophocles, 495? BCE-406 BCE","
Oedipus King of ThebesTranslated into English Rhyming Verse with Explanatory Notes
",:,444,0.11141781681304894
5,Book,"Sophocles, 495? BCE-406 BCE","
Oedipus King of ThebesTranslated into English Rhyming Verse with Explanatory Notes
",",",1593,0.39974905897114177
6,Book,"Sophocles, 495? BCE-406 BCE","
Oedipus King of ThebesTranslated into English Rhyming Verse with Explanatory Notes
",(,22,0.005520702634880803
0,Book,"Burnett, Frances Hodgson, 1849-1924","
The Secret Garden
",'',3483,0.22316909079259306
1,Book,"Burnett, Frances Hodgson, 1849-1924","
The Secret Garden
",.,6059,0.3882232331646056
2,Book,"Burnett, Frances Hodgson, 1849-1924","
The Secret Garden
",``,2290,0.14672903184468508
3,Book,"Burnett, Frances Hodgson, 1849-1924","
The Secret Garden
",),18,0.0011533286345870443
4,Book,"Burnett, Frances Hodgson, 1849-1924","
The Secret Garden
",:,599,0.03838021400653553
5,Book,"Burnett, Frances Hodgson, 1849-1924","
The Secret Garden
",",",3140,0.20119177292240661
6,Book,"Burnett, Frances Hodgson, 1849-1924","
The Secret Garden
",(,18,0.0011533286345870443
0,Book,"Brooke, L. Leslie (Leonard Leslie), 1862-1940","
The Story of the Three Little Pigs
",'',33,0.12790697674418605
1,Book,"Brooke, L. Leslie (Leonard Leslie), 1862-1940","
The Story of the Three Little Pigs
",.,54,0.20930232558139536
2,Book,"Brooke, L. Leslie (Leonard Leslie), 1862-1940","
The Story of the Three Little Pigs
",``,33,0.12790697674418605
3,Book,"Brooke, L. Leslie (Leonard Leslie), 1862-1940","
The Story of the Three Little Pigs
",),2,0.007751937984496124
4,Book,"Brooke, L. Leslie (Leonard Leslie), 1862-1940","
The Story of the Three Little Pigs
",:,16,0.06201550387596899
5,Book,"Brooke, L. Leslie (Leonard Leslie), 1862-1940","
The Story of the Three Little Pigs
",",",118,0.4573643410852713
6,Book,"Brooke, L. Leslie (Leonard Leslie), 1862-1940","
The Story of the Three Little Pigs
",(,2,0.007751937984496124
0,Book,"Maugham, W. Somerset (William Somerset), 1874-1965","
The Painted Veil
",'',1354,0.11600411240575736
1,Book,"Maugham, W. Somerset (William Somerset), 1874-1965","
The Painted Veil
",.,5340,0.4575051405071967
2,Book,"Maugham, W. Somerset (William Somerset), 1874-1965","
The Painted Veil
",``,1344,0.11514736120630568
3,Book,"Maugham, W. Somerset (William Somerset), 1874-1965","
The Painted Veil
",),42,0.0035983550376970526
4,Book,"Maugham, W. Somerset (William Somerset), 1874-1965","
The Painted Veil
",:,569,0.04874914324880055
5,Book,"Maugham, W. Somerset (William Somerset), 1874-1965","
The Painted Veil
",",",2981,0.25539753255654557
6,Book,"Maugham, W. Somerset (William Somerset), 1874-1965","
The Painted Veil
",(,42,0.0035983550376970526
0,Book,"Leblanc, Maurice, 1864-1941","
The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar
",'',1519,0.12039312039312039
1,Book,"Leblanc, Maurice, 1864-1941","
The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar
",.,4365,0.3459617975747008
2,Book,"Leblanc, Maurice, 1864-1941","
The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar
",``,1511,0.11975905524292621
3,Book,"Leblanc, Maurice, 1864-1941","
The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar
",),2,0.00015851628754854561
4,Book,"Leblanc, Maurice, 1864-1941","
The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar
",:,860,0.06816200364587462
5,Book,"Leblanc, Maurice, 1864-1941","
The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar
",",",4358,0.3454069905682809
6,Book,"Leblanc, Maurice, 1864-1941","
The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar
",(,2,0.00015851628754854561
0,Book,"Congreve, William, 1670-1729","
The Way of the World
",'',66,0.00967032967032967
1,Book,"Congreve, William, 1670-1729","
The Way of the World
",.,3223,0.47223443223443223
2,Book,"Congreve, William, 1670-1729","
The Way of the World
",),9,0.0013186813186813187
3,Book,"Congreve, William, 1670-1729","
The Way of the World
",:,757,0.11091575091575091
4,Book,"Congreve, William, 1670-1729","
The Way of the World
",",",2761,0.4045421245421245
5,Book,"Congreve, William, 1670-1729","
The Way of the World
",(,9,0.0013186813186813187
0,Book,"Hoffmann, Heinrich, 1809-1894","
Struwwelpeter: Merry Stories and Funny Pictures
",'',30,0.051457975986277875
1,Book,"Hoffmann, Heinrich, 1809-1894","
Struwwelpeter: Merry Stories and Funny Pictures
",.,161,0.27615780445969124
2,Book,"Hoffmann, Heinrich, 1809-1894","
Struwwelpeter: Merry Stories and Funny Pictures
",``,29,0.04974271012006861
3,Book,"Hoffmann, Heinrich, 1809-1894","
Struwwelpeter: Merry Stories and Funny Pictures
",:,87,0.14922813036020582
4,Book,"Hoffmann, Heinrich, 1809-1894","
Struwwelpeter: Merry Stories and Funny Pictures
",",",276,0.4734133790737564
0,Book,"Vonnegut, Kurt, 1922-2007","
The Big Trip Up Yonder
",'',109,0.13022700119474312
1,Book,"Vonnegut, Kurt, 1922-2007","
The Big Trip Up Yonder
",.,256,0.3058542413381123
2,Book,"Vonnegut, Kurt, 1922-2007","
The Big Trip Up Yonder
",``,98,0.11708482676224612
3,Book,"Vonnegut, Kurt, 1922-2007","
The Big Trip Up Yonder
",:,32,0.038231780167264036
4,Book,"Vonnegut, Kurt, 1922-2007","
The Big Trip Up Yonder
",$,1,0.0011947431302270011
5,Book,"Vonnegut, Kurt, 1922-2007","
The Big Trip Up Yonder
",",",341,0.4074074074074074
0,Book,"Browning, Elizabeth Barrett, 1806-1861","
Aurora Leigh
",'',1225,0.060335910949120816
1,Book,"Browning, Elizabeth Barrett, 1806-1861","
Aurora Leigh
",.,3861,0.19016894055065753
2,Book,"Browning, Elizabeth Barrett, 1806-1861","
Aurora Leigh
",``,8,0.00039403043885140126
3,Book,"Browning, Elizabeth Barrett, 1806-1861","
Aurora Leigh
",),230,0.011328375116977787
4,Book,"Browning, Elizabeth Barrett, 1806-1861","
Aurora Leigh
",:,3278,0.16145397231936168
5,Book,"Browning, Elizabeth Barrett, 1806-1861","
Aurora Leigh
",$,1,4.925380485642516e-05
6,Book,"Browning, Elizabeth Barrett, 1806-1861","
Aurora Leigh
",",",11470,0.5649411417031965
7,Book,"Browning, Elizabeth Barrett, 1806-1861","
Aurora Leigh
",(,230,0.011328375116977787
0,Fanfiction,Suaine,The Hour of the Wolf,'',1054,0.10895182964647508
1,Fanfiction,Suaine,The Hour of the Wolf,.,4090,0.42278271655985117
2,Fanfiction,Suaine,The Hour of the Wolf,#,1,0.00010336985734959685
3,Fanfiction,Suaine,The Hour of the Wolf,``,1053,0.1088484597891255
4,Fanfiction,Suaine,The Hour of the Wolf,),7,0.000723589001447178
5,Fanfiction,Suaine,The Hour of the Wolf,:,138,0.014265040314244366
6,Fanfiction,Suaine,The Hour of the Wolf,",",3324,0.34360140583005994
7,Fanfiction,Suaine,The Hour of the Wolf,(,7,0.000723589001447178
0,Fanfiction,thewunderkind,"drop dead, gorgeous",'',2804,0.10969407714576324
1,Fanfiction,thewunderkind,"drop dead, gorgeous",.,11431,0.44718723104608404
2,Fanfiction,thewunderkind,"drop dead, gorgeous",#,13,0.000508567404741413
3,Fanfiction,thewunderkind,"drop dead, gorgeous",``,3144,0.12299507080823097
4,Fanfiction,thewunderkind,"drop dead, gorgeous",),217,0.008489163602222047
5,Fanfiction,thewunderkind,"drop dead, gorgeous",:,2267,0.08868633127298334
6,Fanfiction,thewunderkind,"drop dead, gorgeous",$,25,0.0009780142398873328
7,Fanfiction,thewunderkind,"drop dead, gorgeous",",",5444,0.21297238087786557
8,Fanfiction,thewunderkind,"drop dead, gorgeous",(,217,0.008489163602222047
0,Fanfiction,wittyy_name,The Marks We Make,'',4788,0.09157327009142026
1,Fanfiction,wittyy_name,The Marks We Make,.,23979,0.4586122480205026
2,Fanfiction,wittyy_name,The Marks We Make,``,4762,0.09107600504915274
3,Fanfiction,wittyy_name,The Marks We Make,),503,0.009620166010021804
4,Fanfiction,wittyy_name,The Marks We Make,:,1779,0.03402440423822821
5,Fanfiction,wittyy_name,The Marks We Make,$,3,5.73767356462533e-05
6,Fanfiction,wittyy_name,The Marks We Make,",",16058,0.3071185403358452
7,Fanfiction,wittyy_name,The Marks We Make,(,414,0.007917989519182956
0,Fanfiction,MurdockSchmurdock,That Awkward Moment When Your Whole Class Shows Up At Your House,'',554,0.10899075349203226
1,Fanfiction,MurdockSchmurdock,That Awkward Moment When Your Whole Class Shows Up At Your House,.,1817,0.3574660633484163
2,Fanfiction,MurdockSchmurdock,That Awkward Moment When Your Whole Class Shows Up At Your House,#,2,0.0003934684241589612
3,Fanfiction,MurdockSchmurdock,That Awkward Moment When Your Whole Class Shows Up At Your House,``,551,0.10840055085579382
4,Fanfiction,MurdockSchmurdock,That Awkward Moment When Your Whole Class Shows Up At Your House,),50,0.00983671060397403
5,Fanfiction,MurdockSchmurdock,That Awkward Moment When Your Whole Class Shows Up At Your House,:,137,0.026952587054888844
6,Fanfiction,MurdockSchmurdock,That Awkward Moment When Your Whole Class Shows Up At Your House,",",1925,0.3787133582530002
7,Fanfiction,MurdockSchmurdock,That Awkward Moment When Your Whole Class Shows Up At Your House,(,47,0.009246507967735589
0,Fanfiction,antistar_e (kaikamahine),Kiss a Boy in Tokyo Town,'',1279,0.10667222685571309
1,Fanfiction,antistar_e (kaikamahine),Kiss a Boy in Tokyo Town,#,3,0.000250208507089241
2,Fanfiction,antistar_e (kaikamahine),Kiss a Boy in Tokyo Town,.,3395,0.28315262718932444
3,Fanfiction,antistar_e (kaikamahine),Kiss a Boy in Tokyo Town,``,1274,0.10625521267723102
4,Fanfiction,antistar_e (kaikamahine),Kiss a Boy in Tokyo Town,),34,0.002835696413678065
5,Fanfiction,antistar_e (kaikamahine),Kiss a Boy in Tokyo Town,:,875,0.07297748123436197
6,Fanfiction,antistar_e (kaikamahine),Kiss a Boy in Tokyo Town,$,1,8.340283569641368e-05
7,Fanfiction,antistar_e (kaikamahine),Kiss a Boy in Tokyo Town,",",5095,0.4249374478732277
8,Fanfiction,antistar_e (kaikamahine),Kiss a Boy in Tokyo Town,(,34,0.002835696413678065
0,Fanfiction,BialyLis,I'd forgotten people are kind,'',3170,0.11806771201906961
1,Fanfiction,BialyLis,I'd forgotten people are kind,.,10605,0.3949867779060673
2,Fanfiction,BialyLis,I'd forgotten people are kind,``,3152,0.11739729598867742
3,Fanfiction,BialyLis,I'd forgotten people are kind,),69,0.002569928116503408
4,Fanfiction,BialyLis,I'd forgotten people are kind,:,870,0.03240344146895601
5,Fanfiction,BialyLis,I'd forgotten people are kind,$,1,3.724533502178852e-05
6,Fanfiction,BialyLis,I'd forgotten people are kind,",",8917,0.3321166523892882
7,Fanfiction,BialyLis,I'd forgotten people are kind,(,65,0.002420946776416254
0,Fanfiction,karategal,An Unexpected Addition,'',2963,0.15992875263129486
1,Fanfiction,karategal,An Unexpected Addition,.,6837,0.36902898472499596
2,Fanfiction,karategal,An Unexpected Addition,``,2943,0.15884924704485345
3,Fanfiction,karategal,An Unexpected Addition,),37,0.0019970853349166083
4,Fanfiction,karategal,An Unexpected Addition,:,315,0.017002212986452204
5,Fanfiction,karategal,An Unexpected Addition,",",5395,0.2911966319425703
6,Fanfiction,karategal,An Unexpected Addition,(,37,0.0019970853349166083
0,Fanfiction,mirrorkill,Fly a Little Faster,'',1172,0.1428919775664472
1,Fanfiction,mirrorkill,Fly a Little Faster,.,2991,0.36466715435259694
2,Fanfiction,mirrorkill,Fly a Little Faster,#,18,0.0021945866861741038
3,Fanfiction,mirrorkill,Fly a Little Faster,``,1167,0.14228237015362108
4,Fanfiction,mirrorkill,Fly a Little Faster,),23,0.0028041940990002436
5,Fanfiction,mirrorkill,Fly a Little Faster,:,173,0.021092416483784442
6,Fanfiction,mirrorkill,Fly a Little Faster,$,2,0.000243842965130456
7,Fanfiction,mirrorkill,Fly a Little Faster,",",2633,0.3210192635942453
8,Fanfiction,mirrorkill,Fly a Little Faster,(,23,0.0028041940990002436
0,Fanfiction,blacklipscurse (bealeciphers),Blue,'',5623,0.1316830987564694
1,Fanfiction,blacklipscurse (bealeciphers),Blue,.,14688,0.3439732090583359
2,Fanfiction,blacklipscurse (bealeciphers),Blue,``,5427,0.12709304231751012
3,Fanfiction,blacklipscurse (bealeciphers),Blue,),1,2.3418655300812628e-05
4,Fanfiction,blacklipscurse (bealeciphers),Blue,:,1083,0.025362403690780074
5,Fanfiction,blacklipscurse (bealeciphers),Blue,$,1,2.3418655300812628e-05
6,Fanfiction,blacklipscurse (bealeciphers),Blue,",",15877,0.3718179902110021
7,Fanfiction,blacklipscurse (bealeciphers),Blue,(,1,2.3418655300812628e-05
0,Fanfiction,Ariel_Sojourner,Back From the Future: Episode VI The Clone Wars,'',1911,0.10143312101910829
1,Fanfiction,Ariel_Sojourner,Back From the Future: Episode VI The Clone Wars,.,8641,0.45865180467091293
2,Fanfiction,Ariel_Sojourner,Back From the Future: Episode VI The Clone Wars,#,57,0.0030254777070063696
3,Fanfiction,Ariel_Sojourner,Back From the Future: Episode VI The Clone Wars,``,1921,0.10196390658174098
4,Fanfiction,Ariel_Sojourner,Back From the Future: Episode VI The Clone Wars,),287,0.015233545647558386
5,Fanfiction,Ariel_Sojourner,Back From the Future: Episode VI The Clone Wars,:,176,0.009341825902335456
6,Fanfiction,Ariel_Sojourner,Back From the Future: Episode VI The Clone Wars,",",5562,0.2952229299363057
7,Fanfiction,Ariel_Sojourner,Back From the Future: Episode VI The Clone Wars,(,285,0.015127388535031847
